"","ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"1","TCGA.OR.A5K2.01A",0.287048457528959,0.16838091764388,0.347216958252578,1.08704711038259,0.204486978331118,1.71661854666261,1.34259003770715,1.31519135244292,2.63490233521948,3.70954918512285
"2","TCGA.OR.A5LN.01A",0.41798149360992,0.518777498385207,0.916230852981651,1.07951980934038,0.222662683388753,1.40304929617058,0.751253277120195,0.809088997379585,1.86973398017491,2.41673816458619
"3","TCGA.OR.A5JG.01A",0.204418769172432,0.0608196601449337,0.394062875444842,1.07819360310016,0.119362149154296,1.5813537368106,0.579989618208777,1.20816280238153,2.59414286336094,4.13573810658936
"4","TCGA.OR.A5KX.01A",0.356858642251935,0.0810389874329597,0.544632449061937,0.706366353189378,0.174247129753197,1.62759976492653,1.08955389212982,1.04245926302119,2.89452791472895,3.01435266823499
"5","TCGA.OR.A5LR.01A",0.45379019376593,0.225160211821093,0.515590719877974,1.52566855378529,0.505851631040843,1.86626148127662,1.94687250593323,1.68598729664632,3.09500769169532,4.22707442161639
"6","TCGA.OR.A5JI.01A",0.489800708127879,0.410526378011933,0.835297588667491,1.42037998179954,0.39093359166735,1.52377884996841,0.884833324898897,1.12569691501003,2.23206383408807,4.53890532206795
"7","TCGA.PK.A5HB.01A",0.334383802246917,0.0923474521761408,0.321527278648865,0.58501140839671,0.225357796299405,1.55834125647881,0.934683887617046,1.87853026041329,3.31952849898799,5.09891381497828
"8","TCGA.OR.A5JK.01A",1.22870720318954,2.07653310869313,1.18754798590648,2.46005893260822,0.772453780890492,2.00842211304455,1.14081456466459,1.17162095488488,2.1420363920407,3.36913065061905
"9","TCGA.OU.A5PI.01A",0.713134805445789,0.271897396283172,0.440158878492969,1.2119524934341,0.204252423762236,1.64325560660722,0.961008940088081,1.32289910867358,2.57190009223921,5.1258636115613
"10","TCGA.OR.A5K5.01A",0.567939886340474,0.0568907914200303,0.502470240079908,0.789947012517988,0.232275699137431,1.32399425797892,0.884444651677105,1.60693679684148,2.61188860189944,3.98303538660471
"11","TCGA.OR.A5L9.01A",0.231775384064096,0.167474886416125,0.331023250606962,1.04586482755583,0.122619733809956,0.820043220563602,0.582119228202289,0.698138028787592,1.16898478424283,1.87847776814479
"12","TCGA.OR.A5J1.01A",0.447940300660514,0.239114494298129,0.365470521509596,0.905290814293214,0.142253383708315,1.63884749915948,1.49271115459812,1.08072494637242,2.3582179824662,2.83451413716288
"13","TCGA.OR.A5JA.01A",0.455134847695562,0.0688429910058208,0.336393174904438,1.18995867895459,0.371644377768383,1.80711321989681,1.29667547736297,1.4982414837403,2.41280412060397,4.41024718882983
"14","TCGA.OR.A5JO.01A",1.36162005116817,1.41261746873445,2.1954537239605,2.22649687260249,1.3323222905261,3.8857227675415,3.24623195701546,1.76580935650814,4.04952361245865,5.63271544575518
"15","TCGA.OR.A5K4.01A",0.389884658132068,0.120116789626217,0.59698985565994,0.812606268375769,0.83549995493059,1.46941189746522,1.48244845424126,1.49681081486721,2.65556154705055,2.93376669086099
"16","TCGA.OR.A5J2.01A",1.05789408800331,0.290020680487604,0.491457969552862,2.02622970930505,0.373391323076313,1.88043433585608,0.981699729901861,1.66817905968333,3.46873798644907,4.82413852328314
"17","TCGA.OR.A5JZ.01A",0.555105953997631,0.34553422044166,0.922793179348309,1.38977244543579,0.265806006093326,1.92602823274328,1.47727825119394,1.69676639769041,3.09689645095555,4.06412248154204
"18","TCGA.OR.A5LK.01A",0.876933946451884,0.777636601253337,1.00221287621317,1.92756925129,0.287217853972666,2.51291989989469,2.05357962711211,0.801770083344688,2.1615483770538,2.77761496508014
"19","TCGA.OR.A5KO.01A",0.300346081488224,0.053033565345577,0.333620570657475,1.06870326334769,0.257175673978909,1.17562722513781,0.668789230716803,1.53922918477325,2.78994146108475,4.50000842688757
"20","TCGA.OR.A5JR.01A",0.484540365030753,0.480439396712948,1.00412341753841,1.2262043304359,0.916346454540555,2.01005212253385,1.57373753460177,1.56458981976452,2.86223506259533,3.28075323087299
"21","TCGA.OR.A5JC.01A",0.356211061569133,0.11313180334463,0.712641251285185,1.20257016257433,0.257983516252288,1.53320769790559,1.4332301018162,1.32080009684258,2.81122766410948,4.08675463878542
"22","TCGA.OR.A5J9.01A",0.438463514711322,0.160303621914647,0.637440966171933,0.865379962742994,0.358424895731312,1.23885036757717,0.535042967315448,1.38069435513626,4.00719154281148,4.53455018823984
"23","TCGA.OR.A5LH.01A",0.464023993975638,0.373041711735021,0.65052815323929,1.86007455831049,0.375315878463857,1.57066796007716,1.38356019334555,1.32597146378646,2.8962845854674,3.38590938559224
"24","TCGA.OR.A5LE.01A",0.394658754416178,0.054086474409122,0.212681613725863,1.12595668817912,0.331190961184411,0.905906867360834,0.578173043272002,1.45688490608457,2.72151464182022,3.37173255599749
"25","TCGA.OR.A5JB.01A",2.00424255597546,2.90732911529924,2.37315092145194,1.24590468971918,1.07212972252638,3.9569163537012,1.42992734238086,1.85864347493327,1.8429473544486,4.47993890496282
"26","TCGA.OR.A5L3.01A",0.126797301083518,0.0663561296880854,0.113687679072009,0.388536279767195,0.0684316271348112,0.62790893389623,0.236577517205087,0.687718508762283,0.978881582737062,1.62243770836426
